Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;Moinsde1;SBI;3;ASB;U;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
F;Moinsde1;SBI;1;AAB;U;0;2;1;1;3;4;4;5;5;5;1;2;2;3;4;4;3
F;2a10;EUR;4;ML;U;0;2;4;4;3;5;5;4;5;4;2;1;1;1;2;4;2
F;Moinsde1;EUR;1;ML;R;2;2;3;2;2;4;3;5;4;4;3;4;3;3;3;4;4
F;1a2;SBI;2;MI;R;1;2;1;4;1;5;3;4;4;2;1;2;4;1;4;3;3
F;Plusde10;SBI;2;MI;R;1;3;4;4;4;4;4;4;4;4;1;1;1;1;1;4;1
M;Moinsde1;NR;2;MI;R;3;2;2;2;1;4;4;4;4;4;3;2;4;2;4;4;4
F;2a10;MCO;Plusde5;MI;R;0;3;4;4;2;5;2;3;5;2;2;2;1;2;1;1;1
M;2a10;MCO;1;MI;R;0;2;2;4;1;4;4;4;4;4;2;1;1;1;1;3;1
M;Moinsde1;BEN;2;MI;R;0;3;3;5;1;5;5;5;5;4;3;1;1;1;1;3;1
F;Moinsde1;MCO;Plusde5;MI;R;0;2;2;5;1;4;3;4;5;5;3;1;1;1;1;3;3
F;2a10;BEN;3;MI;R;1;2;5;4;5;5;5;5;4;1;5;1;1;3;1;4;4
M;2a10;MCO;2;ML;PU;0;2;4;4;4;5;5;5;5;4;2;1;1;1;1;4;1
F;2a10;EUR;1;ASB;R;0;2;1;3;1;4;4;4;4;4;4;3;2;1;1;1;3
M;2a10;SBI;2;ML;R;2;2;4;4;4;5;4;5;5;5;2;1;3;5;4;5;4
M;Plusde10;NSP;2;MI;R;2;2;4;5;3;5;5;4;5;5;5;1;3;3;1;5;5
F;2a10;MCO;Plusde5;MI;PU;0;2;1;4;1;4;5;5;4;4;5;3;5;4;5;5;3
